district_id,div_id,district,district_bn,ds_x,ds_y,isdelete,user_id
1004,10,Barguna,বরগুনা,509863,452629,0,1
1006,10,Barisal,বরিশাল,533219,525898,0,1
1009,10,Bhola,ভোলা,579060,479683,0,1
1042,10,Jhalokati,ঝালকাঠি,518076,494896,0,1
1078,20,Patuakhali,পটুয়াখালী,539578,458894,0,1
1079,20,Pirojpur,পিরোজপুর,501166,495065,0,1
2003,20,Bandarban,বান্দরবান,740617,420139,0,1
2012,20,Brahamanbaria,ব্রাহ্মণবাড়িয়া,610198,646490,0,1
2013,20,Chandpur,চাঁদপুর,578949,569993,0,1
2015,20,Chittagong,চট্টগ্রাম,692212,475895,0,1
2019,20,Comilla,কুমিল্লা,606398,593900,0,1
2022,20,Cox'S Bazar,কক্স বাজার,712593,376388,0,1
2030,20,Feni,ফেনী,644992,543707,0,1
2046,20,Khagrachhari,খাগড়াছড়ি,697645,550002,0,1
2051,30,Lakshmipur,লক্ষ্মীপুর,585829,534835,0,1
2075,30,Noakhali,নোয়াখালী,615832,522878,0,1
2084,30,Rangamati,রাঙ্গামাটি,728751,514452,0,1
3026,30,Dhaka,ঢাকা,521488,627228,0,1
3029,30,Faridpur,ফরিদপুর,483466,595150,0,1
3033,30,Gazipur,গাজীপুর,546472,664395,0,1
3035,30,Gopalganj,গোপালগঞ্জ,489770,553353,0,1
3039,30,Jamalpur,জামালপুর,482956,763696,0,1
3048,30,Kishoreganj,কিশোরগঞ্জ,592735,693496,0,1
4054,40,Madaripur,মাদারীপুর,516501,566547,0,1
4056,40,Manikganj,মানিকগঞ্জ,495199,637570,0,1
4059,40,Munshiganj,মুন্সিগঞ্জ,544059,600940,0,1
4061,40,Mymensingh,ময়মনসিং,544739,732338,0,1
4067,40,Narayanganj,নারায়াণগঞ্জ,557622,621729,0,1
4068,40,Narsingdi,নরসিংদী,577483,655313,0,1
4072,40,Netrakona,নেত্রকোনা,586738,749220,0,1
4082,40,Rajbari,রাজবাড়ি,459324,623257,0,1
4086,40,Shariatpur,শরীয়তপুর,542133,568278,0,1
4089,40,Sherpur,শেরপুর,508265,773796,0,1
4093,40,Tangail,টাঙ্গাইল,497798,690610,0,1
5001,50,Bagerhat,বাগেরহাট,476494,501885,0,1
5018,50,Chuadanga,চুয়াডাঙ্গা,382480,608548,0,1
5041,50,Jessore,যশোর,416371,553249,0,1
5044,50,Jhenaidah,ঝিনাইদহ,406345,598102,0,1
5047,50,Khulna,খুলনা,447152,514524,0,1
5050,50,Kushtia,কুষ্টিয়া,405386,644225,0,1
5055,50,Magura,মাগুরা,442783,593058,0,1
5057,50,Meherpur,মেহেরপুর,368898,631952,0,1
5065,50,Narail,নড়াইল,458074,557545,0,1
5087,50,Satkhira,সাতক্ষীরা,407601,499271,0,1
6010,60,Bogra,বগুড়া,435153,745869,0,1
6027,60,Dinajpur,দিনাজপুর,381450,831355,0,1
6032,60,Gaibandha,গাইবান্ধা,450539,797237,0,1
6038,60,Joypurhat,জয়পুরহাট,408461,772543,0,1
6049,60,Kurigram,কুড়িগ্রাম,469251,849920,0,1
6052,60,Lalmonirhat,লালমনিরহাট,424835,881451,0,1
6064,60,Naogaon,নওগাঁ,376007,754387,0,1
6069,60,Natore,নাটোর,406466,693495,0,1
6070,60,Nawabganj,নবাবগঞ্জ,325671,738749,0,1
6073,60,Nilphamari,নীলফামারী,394033,876002,0,1
6076,60,Pabna,পাবনা,438180,662349,0,1
6077,60,Panchagarh,পঞ্চগড়,355880,909810,0,1
6081,60,Rajshahi,রাজশাহী,367350,704301,0,1
6085,60,Rangpur,রংপুর,423300,840617,0,1
6088,60,Sirajganj,সিরাজগঞ্জ,460728,695764,0,1
6094,60,Thakurgaon,ঠাকুরগাঁও,330085,872890,0,1
8036,80,Habiganj,হবিগঞ্জ,643279,694936,0,1
8058,80,Maulvibazar,মৌলভীবাজার,691988,708371,0,1
8090,80,Sunamganj,সুনামগঞ্জ,636093,758877,0,1
8091,80,Sylhet,সিলেট,701546,755238,0,1
